run_name,base_run_name,domain_name,domain_dataset,run_type,placement,rank,seed,domain_f1,boolq_acc,boolq_samples,piqa_acc,piqa_samples,general_acc_weighted,wikitext_ppl,adaptation_gain,forgetting_boolq,forgetting_piqa,forgetting_acc_weighted,forgetting_ppl,composite_score,composite_rank,trainable_parameters,runtime_seconds,domain_input_mode,domain_context_ratio
keboola_base,keboola_base,keboola_docs,Keboola/Developer-Documentation-QA,base,all,0,42,0.339389,0.715291,3270,0.809032,1838,0.749021,10.803539,0.0,0.0,0.0,0.0,0.0,,,3085938688,0.0,context_qa,0.849345
all_r4_seed42,keboola_base,keboola_docs,Keboola/Developer-Documentation-QA,adapter,all,4,42,0.516711,0.757187,3270,0.703482,1838,0.737862,10.599872,0.177322,-0.041896,0.10555,0.011159,-0.203666,0.719913,3,921600,2733.854046,context_qa,0.849345
all_r8_seed42,keboola_base,keboola_docs,Keboola/Developer-Documentation-QA,adapter,all,8,42,0.519998,0.750153,3270,0.691513,1838,0.729052,10.576903,0.180609,-0.034862,0.117519,0.019969,-0.226636,0.729814,2,1843200,2716.856568,context_qa,0.849345
all_r16_seed42,keboola_base,keboola_docs,Keboola/Developer-Documentation-QA,adapter,all,16,42,0.520788,0.777064,3270,0.701306,1838,0.749804,10.600935,0.181399,-0.061774,0.107726,-0.000783,-0.202603,0.899826,1,3686400,2649.36009,context_qa,0.849345
lower_r4_seed42,keboola_base,keboola_docs,Keboola/Developer-Documentation-QA,adapter,lower,4,42,0.505413,0.756575,3270,0.729597,1838,0.746868,10.730949,0.166024,-0.041284,0.079434,0.002153,-0.072589,0.482055,5,307200,2448.292503,context_qa,0.849345
lower_r8_seed42,keboola_base,keboola_docs,Keboola/Developer-Documentation-QA,adapter,lower,8,42,0.502589,0.755046,3270,0.727421,1838,0.745106,10.743107,0.1632,-0.039755,0.08161,0.003915,-0.060432,0.402469,6,614400,2399.018184,context_qa,0.849345
lower_r16_seed42,keboola_base,keboola_docs,Keboola/Developer-Documentation-QA,adapter,lower,16,42,0.510358,0.72844,3270,0.714363,1838,0.723375,10.733145,0.170969,-0.01315,0.094668,0.025646,-0.070393,0.391813,7,1228800,2424.190176,context_qa,0.849345
upper_r4_seed42,keboola_base,keboola_docs,Keboola/Developer-Documentation-QA,adapter,upper,4,42,0.491571,0.749847,3270,0.779108,1838,0.760376,10.637871,0.152182,-0.034557,0.029924,-0.011355,-0.165667,0.363317,9,307200,2379.674843,context_qa,0.849345
upper_r8_seed42,keboola_base,keboola_docs,Keboola/Developer-Documentation-QA,adapter,upper,8,42,0.500494,0.745872,3270,0.766594,1838,0.753328,10.627956,0.161105,-0.030581,0.042437,-0.004307,-0.175583,0.495377,4,614400,2338.066929,context_qa,0.849345
upper_r16_seed42,keboola_base,keboola_docs,Keboola/Developer-Documentation-QA,adapter,upper,16,42,0.498454,0.734862,3270,0.761153,1838,0.744323,10.634899,0.159065,-0.019572,0.047878,0.004699,-0.168639,0.376292,8,1228800,2304.111819,context_qa,0.849345
techqa_base,techqa_base,techqa,rojagtap/tech-qa,base,all,0,42,0.200723,0.715291,3270,0.809032,1838,0.749021,10.803539,0.0,0.0,0.0,0.0,0.0,,,0,0.0,context_qa,1.0
techqa_all_r4_seed42,techqa_base,techqa,rojagtap/tech-qa,adapter,all,4,42,0.252337,0.768196,3270,0.768226,1838,0.768207,10.655572,0.051614,-0.052905,0.040805,-0.019186,-0.147966,0.625654,3,921600,1799.816862,context_qa,1.0
techqa_all_r8_seed42,techqa_base,techqa,rojagtap/tech-qa,adapter,all,8,42,0.270726,0.781957,3270,0.765506,1838,0.776038,10.608125,0.070004,-0.066667,0.043526,-0.027016,-0.195414,0.784683,2,1843200,1609.016014,context_qa,1.0
techqa_all_r16_seed42,techqa_base,techqa,rojagtap/tech-qa,adapter,all,16,42,0.225552,0.778899,3270,0.71654,1838,0.75646,10.495263,0.024829,-0.063609,0.092492,-0.007439,-0.308276,0.472672,4,3686400,1578.228104,context_qa,1.0
techqa_lower_r4_seed42,techqa_base,techqa,rojagtap/tech-qa,adapter,lower,4,42,0.187819,0.75107,3270,0.786181,1838,0.763704,10.779402,-0.012904,-0.03578,0.022851,-0.014683,-0.024136,0.224096,7,307200,2158.621489,context_qa,1.0
techqa_lower_r8_seed42,techqa_base,techqa,rojagtap/tech-qa,adapter,lower,8,42,0.305029,0.75107,3270,0.793798,1838,0.766445,10.755321,0.104307,-0.03578,0.015234,-0.017424,-0.048217,0.849439,1,614400,1954.556799,context_qa,1.0
techqa_lower_r16_seed42,techqa_base,techqa,rojagtap/tech-qa,adapter,lower,16,42,0.209553,0.766972,3270,0.778564,1838,0.771143,10.748012,0.00883,-0.051682,0.030468,-0.022122,-0.055527,0.392184,5,1228800,1732.022447,context_qa,1.0
techqa_upper_r4_seed42,techqa_base,techqa,rojagtap/tech-qa,adapter,upper,4,42,0.195883,0.710398,3270,0.797062,1838,0.741582,10.671135,-0.00484,0.004893,0.01197,0.007439,-0.132404,0.167335,8,307200,1880.557031,context_qa,1.0
techqa_upper_r8_seed42,techqa_base,techqa,rojagtap/tech-qa,adapter,upper,8,42,0.211053,0.710398,3270,0.794342,1838,0.740603,10.636774,0.010331,0.004893,0.01469,0.008418,-0.166765,0.251062,6,614400,1518.408068,context_qa,1.0
techqa_upper_r16_seed42,techqa_base,techqa,rojagtap/tech-qa,adapter,upper,16,42,0.190865,0.694801,3270,0.785092,1838,0.727291,10.590016,-0.009857,0.020489,0.023939,0.021731,-0.213523,0.082247,9,1228800,1368.228912,context_qa,1.0
